#
# Reworked by Aregorn for HSR2_DD
#
##;ENG;FRA;ITA;SPA;GER;POL;;;;;X
PROV0;(Embarked);(Embarked);(Embarked);(Embarked);(Embarked);(Embarked);;;;;x
PROV1;Reykjavik;Reykjavik;Reykjavik;Reykjavik;Reykjavik;Reykjavik;;;;;X
PROV2;Höfn;Höfn;Höfn;Höfn;Höfn;Höfn;;;;;X
PROV3;Stornoway;Stornoway;Stornoway;Stornoway;Stornoway;Stornoway;;;;;X
PROV4;As Suwayz;As Suwayz;As Suwayz;As Suwayz;As Suwayz;As Suwayz;;;;;X
PROV5;Scapa Flow;Scapa Flow;Scapa Flow;Scapa Flow;Scapa Flow;Scapa Flow;;;;;X
PROV6;Inverness;Inverness;Inverness;Inverness;Inverness;Inverness;;;;;X
PROV7;Aberdeen;Aberdeen;Aberdeen;Aberdeen;Aberdeen;Aberdeen;;;;;X
PROV8;Dunfermline;Dunfermline;Dunfermline;Dunfermline;Dunfermline;Dunfermline;;;;;X
PROV9;Glasgow;Glasgow;Glasgow;Glasgow;Glasgow;Glasgow;;;;;X
PROV10;Edinburgh;Edinburgh;Edinburgh;Edinburgh;Edinburgh;Edinburgh;;;;;X
PROV11;Sunderland;Sunderland;Sunderland;Sunderland;Sunderland;Sunderland;;;;;X
PROV12;Blackpool;Blackpool;Blackpool;Blackpool;Blackpool;Blackpool;;;;;X
PROV13;Sheffield;Sheffield;Sheffield;Sheffield;Sheffield;Sheffield;;;;;X
PROV14;Liverpool;Liverpool;Liverpool;Liverpool;Liverpool;Liverpool;;;;;X
PROV15;Cardiff;Cardiff;Cardiff;Cardiff;Cardiff;Cardiff;;;;;X
PROV16;Birmingham;Birmingham;Birmingham;Birmingham;Birmingham;Birmingham;;;;;X
PROV17;Norwich;Norwich;Norwich;Norwich;Norwich;Norwich;;;;;X
PROV18;Calais;Calais;Calais;Calais;Calais;Calais;;;;;X
PROV19;London;London;London;London;London;London;;;;;X
PROV20;Dover;Dover;Dover;Dover;Dover;Dover;;;;;X
PROV21;Portsmouth;Portsmouth;Portsmouth;Portsmouth;Portsmouth;Portsmouth;;;;;X
PROV22;Bristol;Bristol;Bristol;Bristol;Bristol;Bristol;;;;;X
PROV23;Plymouth;Plymouth;Plymouth;Plymouth;Plymouth;Plymouth;;;;;X
PROV24;Cork;Cork;Cork;Cork;Cork;Cork;;;;;X
PROV25;Galway;Galway;Galway;Galway;Galway;Galway;;;;;X
PROV26;Sligo;Sligo;Sligo;Sligo;Sligo;Sligo;;;;;X
PROV27;Letterkenny;Letterkenny;Letterkenny;Letterkenny;Letterkenny;Letterkenny;;;;;X
PROV28;Belfast;Belfast;Belfast;Belfast;Belfast;Belfast;;;;;X
PROV29;Portadown;Portadown;Portadown;Portadown;Portadown;Portadown;;;;;X
PROV30;Dublin;Dublin;Dublin;Dublin;Dublin;Dublin;;;;;X
PROV31;Malta;Malta;Malta;Malta;Malta;Malta;;;;;X
PROV32;Brest;Brest;Brest;Brest;Brest;Brest;;;;;X
PROV33;Rennes;Rennes;Rennes;Rennes;Rennes;Rennes;;;;;X
PROV34;Lorient;Lorient;Lorient;Lorient;Lorient;Lorient;;;;;X
PROV35;Nantes;Nantes;Nantes;Nantes;Nantes;Nantes;;;;;X
PROV36;Angers;Angers;Angers;Angers;Angers;Angers;;;;;X
PROV37;Avranches;Avranches;Avranches;Avranches;Avranches;Avranches;;;;;X
PROV38;Cherbourg;Cherbourg;Cherbourg;Cherbourg;Cherbourg;Cherbourg;;;;;X
PROV39;Caen;Caen;Caen;Caen;Caen;Caen;;;;;X
PROV40;Argentan;Argentan;Argentan;Argentan;Argentan;Argentan;;;;;X
PROV41;Le Havre;Le Havre;Le Havre;Le Havre;Le Havre;Le Havre;;;;;X
PROV42;Dieppe;Dieppe;Dieppe;Dieppe;Dieppe;Dieppe;;;;;X
PROV43;Dunkerque;Dunkerque;Dunkerque;Dunkerque;Dunkerque;Dunkerque;;;;;X
PROV44;Lille;Lille;Lille;Lille;Lille;Lille;;;;;X
PROV45;Ghent;Ghent;Ghent;Ghent;Ghent;Ghent;;;;;X
PROV46;Rotterdam;Rotterdam;Rotterdam;Rotterdam;Rotterdam;Rotterdam;;;;;X
PROV47;Amsterdam;Amsterdam;Amsterdam;Amsterdam;Amsterdam;Amsterdam;;;;;X
PROV48;Utrecht;Utrecht;Utrecht;Utrecht;Utrecht;Utrecht;;;;;X
PROV49;Eindhoven;Eindhoven;Eindhoven;Eindhoven;Eindhoven;Eindhoven;;;;;X
PROV50;Antwerp;Antwerp;Antwerp;Antwerp;Antwerp;Antwerp;;;;;X
PROV51;Brussels;Brussels;Brussels;Brussels;Brussels;Brussels;;;;;X
PROV52;Mons;Mons;Mons;Mons;Mons;Mons;;;;;X
PROV53;Valenciennes;Valenciennes;Valenciennes;Valenciennes;Valenciennes;Valenciennes;;;;;X
PROV54;Amiens;Amiens;Amiens;Amiens;Amiens;Amiens;;;;;X
PROV55;Compiègne;Compiègne;Compiègne;Compiègne;Compiègne;Compiègne;;;;;X
PROV56;Paris;Paris;Paris;Paris;Paris;Paris;;;;;X
PROV57;Orléans;Orléans;Orléans;Orléans;Orléans;Orléans;;;;;X
PROV58;Le Mans;Le Mans;Le Mans;Le Mans;Le Mans;Le Mans;;;;;X
PROV59;Cholet;Cholet;Cholet;Cholet;Cholet;Cholet;;;;;X
PROV60;Tours;Tours;Tours;Tours;Tours;Tours;;;;;X
PROV61;Bourges;Bourges;Bourges;Bourges;Bourges;Bourges;;;;;X
PROV62;Auxerre;Auxerre;Auxerre;Auxerre;Auxerre;Auxerre;;;;;X
PROV63;Troyes;Troyes;Troyes;Troyes;Troyes;Troyes;;;;;X
PROV64;Reims;Reims;Reims;Reims;Reims;Reims;;;;;X
PROV65;Namur;Namur;Namur;Namur;Namur;Namur;;;;;X
PROV66;Aachen;Aachen;Aachen;Aachen;Aachen;Aachen;;;;;X
PROV67;Essen;Essen;Essen;Essen;Essen;Essen;;;;;X
PROV68;Liège;Liège;Liège;Liège;Liège;Liège;;;;;X
PROV69;Bastogne;Bastogne;Bastogne;Bastogne;Bastogne;Bastogne;;;;;X
PROV70;Arlon;Arlon;Arlon;Arlon;Arlon;Arlon;;;;;X
PROV71;Luxembourg;Luxembourg;Luxembourg;Luxembourg;Luxembourg;Luxembourg;;;;;X
PROV72;Metz;Metz;Metz;Metz;Metz;Metz;;;;;X
