#,
# Reworked by Aregorn for HSR2_DD,
#,
#,
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X,
#  ****************************************************************************************************;;;;;;;;;;;X,
##;;;;;;;;;;;X,
#  Technology System Techs below here, ..;;;;;;;;;;;X
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
RT_ARTILLERY;Artillery;Artillerie;;Artillería;Artillerie;Artyleria;;;;;X,
RT_MECHANICS;Mechanics;Mécanique;;Mecánica;Mechanik;Mechanika;;;;;X,
RT_ELECTRONICS;Electronics;Électronique;;Electrónica;Elektronik;Elektronika;;;;;X,
RT_CHEMISTRY;Chemistry;Chimie;;Química;Chemie;Chemia;;;;;X,
RT_TRAINING;Training;Entraînement;;Instrucción;Übung;Szkolenie;;;;;X,
RT_GENERAL_EQUIPMENT;General Equipment;Équipement général;;Equipo general;Allgemeine Ausrüstung;Sprzêt ogólny;;;;;X,
RT_ROCKETRY;Rocketry;Fuséonautique;;Técnica de cohetes;Raketentechnik;Technologia rakietowa;;;;;X
RT_NAVAL_ENGINEERING;Naval Engineering;Génie maritime;;Ingeniería naval;Marinetechnik;Technologia morska;;;;;X
RT_AERONAUTICS;Aeronautics;Aéronautique;;Aeronáutica;Flugtechnik;Lotnictwo;;;;;X
RT_NUCLEAR_PHYSICS;Nuclear Physics;Physique nucléaire;;Física nuclear;Nuklearphysik;Fizyka j¹drowa;;;;;X
RT_NUCLEAR_ENGINEERING;Nuclear Engineering;Génie nucléaire;;Ingeniería nuclear;Nukleartechnik;Technika j¹drowa;;;;;X
RT_MANAGEMENT;Management;Gestion;;Gestión;Management;Zarz¹dzanie;;;;;X
RT_INDUSTRIAL_ENGINEERING;Industrial Engineering;Génie industriel;;Ingeniería industrial;Produktionstechnik;Organizacja produkcji;;;;;X
RT_MATHEMATICS;Mathematics;Mathématiques;;Matemáticas;Mathematik;Matematyka;;;;;X
RT_SMALL_UNIT_TACTICS;Small Unit Tactics;Tact. petites unités;;Tácticas de unidades pequeñas;Kleineinheiten-Taktiken;Taktyka ma³ych oddzia³ów;;;;;X
RT_LARGE_UNIT_TACTICS;Large Unit Tactics;Tact. grandes unités;;Tácticas de grandes unidades;Großeinheiten-Taktiken;Taktyka du¿ych oddzia³ów;;;;;X
RT_CENTRALIZED_EXECUTION;Centralized Execution;Exéc. centralisée;;Ejecución centralizada;Zentralisierte Abwicklung;Wykonywanie centralne;;;;;X
RT_DECENTRALIZED_EXECUTION;Decentralized Execution;Exéc. décentralisée;;Ejecución descentralizada;Dezentralisierte Abwicklung;Wykonywanie zdecentralizowane;;;;;X
RT_TECHNICAL_EFFICIENCY;Technical Efficiency;Efficacité technique;;Eficacia técnica;Technische Effizienz;Efektywnoœæ techniczna;;;;;X
RT_INDIVIDUAL_COURAGE;Individual Courage;Courage individuel;;Valor individual;Individuelle Courage;Odwaga jednostki;;;;;X
RT_INFANTRY_FOCUS;Infantry Focus;Objectif infanterie;;Concentración en artillería;Infanterie-Fokus;Nacisk na piechotê;;;;;X
RT_COMBINED_ARMS_FOCUS;Combined Arms Focus;Armées combinées;;Concentración en armamento combinado;Combined Arms-Fokus ;Nacisk na wspó³pracê wojsk;;;;;X
RT_LARGE_UNIT_FOCUS;Large Unit Focus;Obj. grandes unités;;Concentración en unidad grande;Großeinheiten-Fokus;Nacisk na du¿e jednostki;;;;;X
RT_NAVAL_ARTILLERY;Naval Artillery;Artillerie navale;;Artillería naval;Marineartillerie;Artyleria okrêtowa;;;;;X
