y;English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
##;;;;;;;;;;;X
TUTORIAL_SETUP;When a scripted tutorial event occurs;Lorsqu'un événement scripté de formation survient;Se si verifica un evento del tutorial predefinito;Cuando ocurra un suceso del 'script' del tutorial;Wenn sich ein festgelegtes Tutorial-Ereignis ereignet;Kiedy nast¹pi wydarzenie z samouczka;;;;;X
TUTORIAL_HEADER;Tutorial Info%s;Formation%s;Informazioni del tutorial %s;Información del tutorial%s;Tutorial-Informationen%s;Informacje o samouczku%s;;;;;X
TUTORIAL_1;%s;%s;%s;%s;%s;%s;;;;;X
TUTORIAL_2;%s;%s;%s;%s;%s;%s;;;;;X
TUTORIAL_3;;;;;;;;;;;X
TUTORIAL_4;;;;;;;;;;;X
TUTORIAL_5;;;;;;;;;;;X
TUTORIAL_6;;;;;;;;;;;X
TUTORIAL_LOG;%s: %s;%s : %s;%s: %s;%s: %s;%s: %s;%s: %s;;;;;X
TUTORIAL_BTN1;OK;OK;OK;Aceptar;OK;OK;;;;;X
TUTORIAL_BTN2;;;;;;;;;;;X
#;;;;;;;;;;;X
TUTORIAL_MAIN_TITLE;Welcome to Hearts of Iron II;Bienvenue sur Hearts of Iron II;Benvenuto in Hearts of Iron 2;Bienvenido a Hearts of Iron II;Willkommen bei Hearts of Iron II;Witaj w Hearts of Iron II;;;;;X
TUTORIAL_MAIN_DESC;It’s safe to say that Hearts of Iron II is a very demanding game. You will have to direct politics, diplomacy, production and research on a national and international level as well as master conquest and tactical combat. But in great challenges lie great rewards so Hearts of Iron II offers the most realistic simulation of the World War II era you could wish for. It leaves you infinite ways to define your own path to glory. To make it easier to get started we recommend this tutorial. It explains all the main features of the game. For more in-depth information please read the game manual or visit our forums at Paradoxplaza.com;On peut affirmer sans détours que Hearts of Iron II exige beaucoup des joueurs. On attend de vous des décisions politiques, diplomatiques, il vous faut gérer la production et la recherche à un niveau national comme international, mais aussi maîtriser l’art de la conquête et du combat tactique. En retour, Hearts of Iron vous apporte une satisfaction considérable, en ce qu’il offre la simulation la plus réaliste qui soit de toute la période couvrant la Seconde Guerre mondiale. Il vous offre un nombre illimité d’options qui vous permettront de fouler les sentiers de la gloire. Nous vous recommandons, pour mieux débuter, de consulter ce didacticiel . Il vous explique toutes les fonctions principales du jeu. Si vous souhaitez avoir des informations plus précises, veuillez consulter le manuel de jeu, ou visiter nos forums sur Paradoxplaza.com;Hearts of Iron 2 è sicuramente un gioco molto impegnativo. Dovrai gestire la politica, la diplomazia, la produzione e la ricerca a livello nazionale e internazionale, ma anche fare conquiste e affrontare combattimenti tattici. Dietro ogni grande sfida si nasconde però una grande ricompensa. Hearts of Iron 2 ti offre la simulazione più realistica dell’epoca della Seconda Guerra Mondiale, permettendoti di tracciare il tuo sentiero di gloria attraverso un’infinità di possibili strade. Per cominciare con facilità ti consigliamo di seguire questo tutorial, dove troverai spiegazione a tutte le principali caratteristiche del gioco. Per ulteriori dettagli, consulta il manuale di gioco oppure visita i nostri forum all’indirizzo www.paradoxplaza.com.;No hay duda al decir que Hearts of Iron II es un juego muy exigente. Tendrás que ocuparte de la política, la diplomacia, la producción y la investigación en el ámbito nacional e internacional, así como dominar la conquista y el combate táctico. Pero los grandes desafíos conllevan grandes recompensas, así que Hearts of Iron II te ofrece la simulación más realista de la época de la II Guerra Mundial que hubieras podido desear. Te proporciona infinitas formas de recorrer tu propio sendero de gloria. Para hacer más fácil el empezar a jugar te recomendamos este tutorial, que explica todas las características principales del juego. Para obtener una información más exhaustiva, te rogamos que leas el manual del juego o visites nuestros foros en Paradoxplaza.com;Hearts of Iron II ist ein ausgesprochen anspruchsvolles Spiel. Sie bestimmen die Politik, üben sich in Diplomatie und steuern die Produktion und die Forschungsarbeiten auf nationaler und internationaler Ebene. Darüber hinaus bestimmen Sie natürlich den Lauf des Krieges mit und üben sich im taktischen Kampf. Wer sich diesen Herausforderungen stellt, den erwartet die realistischste Darstellung des Zweiten Weltkrieges, die man sich vorstellen kann. Hier schafft sich jeder seinen eigenen Weg zum Sieg. In diesem Tutorial erklären wir Ihnen die wichtigsten Funktionen des Spiels. Weiterführende Informationen finden Sie im Handbuch zum Spiel oder besuchen Sie unsere Foren unter Paradoxplaza.com. ;Mo¿na powiedzieæ, ¿e  Hearts of Iron to bardzo wymagaj¹ca gra. Bêdziesz musia³ zarz¹dzaæ polityk¹ wewnêtrzn¹, dyplomacj¹, produkcj¹, badaniami oraz poznaæ taktykê ataku i obrony swoich granic. Du¿e wyzwanie  to du¿a satysfakcja – Hearts of Iron II jest najdok³adniejsz¹ symulacj¹ drugiej wojny œwiatowej o jakiej mog³eœ marzyæ. Oferuje Ci niezliczone drogi do osi¹gniêcia ostatecznego zwyciêstwa. Aby u³atwiæ Ci rozpoczêcie gry, przygotowaliœmy dla Ciebie ten samouczek. Je¿eli potrzebujesz dok³adniejszych informacji, zajrzyj do instrukcji lub odwiedŸ forum na stronie Paradoxplaza.com.;;;;;X
#;;;;;;;;;;;X
