Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Alexander;52000;CAN;1930;1930;1990;1990;2;5;513;2;0;5;0;L52000;1930;1960;x
Allard;52001;CAN;1930;1930;1990;1990;2;7;4;3;0;5;0;L52001;1943;1960;x
Anderson  J.F.V.;52002;CAN;1930;1930;1990;1990;2;4;32;1;0;5;0;L52002;1940;1960;x
Anderson  T.V.;52003;CAN;1930;1930;1990;1990;2;6;2;2;0;5;0;L52003;1930;1960;x
Ashton;52004;CAN;1930;1930;1990;1990;2;5;1;2;0;5;0;L52004;1930;1960;x
Bernatchez;52005;CAN;1930;1930;1990;1990;2;5;4;2;0;5;0;L52005;1944;1960;x
Bevan;52006;CAN;1930;1930;1990;1990;2;4;0;1;0;5;0;L52006;1945;1960;x
Bingham;52007;CAN;1930;1930;1990;1990;2;6;128;2;0;4;0;L52007;1944;1960;x
Boutet;52008;CAN;1930;1930;1990;1990;2;4;4;1;0;5;0;L52008;1938;1960;x
Buell;52009;CAN;1930;1930;1990;1990;2;4;128;1;0;5;0;L52009;1930;1960;x
Burns;52010;CAN;1930;1930;1990;1990;2;6;128;2;0;5;0;L52010;1939;1960;x
Cabeldu;52011;CAN;1930;1930;1990;1990;2;6;4;2;0;5;0;L52011;1941;1960;x
Calkin;52012;CAN;1930;1930;1990;1990;2;4;1;1;0;5;0;L52012;1939;1960;x
Crerar;52013;CAN;1930;1930;1941;1990;1;7;5;3;0;5;0;L52013;1930;1960;x
Currie;52014;CAN;1930;1930;1990;1990;2;5;64;2;0;5;0;L52014;1930;1960;x
Ethell;52015;CAN;1930;1930;1990;1990;2;4;0;1;0;5;0;L52015;1944;1960;x
Farndale;52016;CAN;1930;1930;1990;1990;2;5;0;2;0;5;0;L52016;1930;1960;x
Forbes;52017;CAN;1930;1930;1990;1990;2;5;4;2;0;5;0;L52017;1941;1960;x
Foster;52018;CAN;1930;1930;1990;1990;2;5;0;2;0;5;0;L52018;1940;1960;x
Foulkes;52019;CAN;1930;1930;1947;1990;2;7;256;3;0;5;0;L52019;1943;1960;x
Gammon;52020;CAN;1930;1930;1990;1990;2;4;0;1;0;5;0;L52020;1938;1960;x
Gardner;52021;CAN;1930;1930;1990;1990;2;4;128;1;0;5;0;L52021;1944;1960;x
Gianelli;52022;CAN;1930;1930;1990;1990;2;7;128;3;0;5;0;L52022;1941;1960;x
Gordon;52023;CAN;1930;1930;1990;1990;2;5;256;2;0;5;0;L52023;1940;1960;x
Harvey;52024;CAN;1930;1930;1990;1990;2;4;544;1;0;5;0;L52024;1930;1960;x
Hertzberg;52025;CAN;1930;1930;1990;1990;2;4;32;1;0;5;0;L52025;1937;1960;x
Hoffmeister;52026;CAN;1930;1930;1990;1990;2;5;0;2;0;5;0;L52026;1941;1960;x
Hughes;52027;CAN;1930;1930;1990;1990;2;5;2;2;0;5;0;L52027;1930;1960;x
Hyde;52028;CAN;1930;1930;1990;1990;2;5;128;2;0;5;0;L52028;1942;1960;x
Jefferson;52029;CAN;1930;1930;1990;1990;2;6;4;2;0;5;0;L52029;1943;1960;x
Keefler;52030;CAN;1930;1930;1990;1990;2;4;256;1;0;5;0;L52030;1943;1960;x
Keller;52031;CAN;1930;1930;1990;1990;2;5;0;2;0;5;0;L52031;1941;1960;x
Kitching;52032;CAN;1930;1930;1990;1990;2;6;0;2;0;5;0;L52032;1939;1960;x
Lafferty;52033;CAN;1930;1930;1990;1990;2;6;520;2;0;5;0;L52033;1930;1939;x
Lawson;52034;CAN;1930;1930;1990;1990;2;4;0;1;0;5;0;L52034;1930;1960;x
Leclerc;52035;CAN;1930;1930;1990;1990;2;6;2;2;0;5;0;L52035;1938;1960;x
Legér;52036;CAN;1930;1930;1990;1990;2;4;2;1;0;5;0;L52036;1939;1960;x
MacKay;52037;CAN;1930;1930;1990;1990;2;4;0;1;0;5;0;L52037;1930;1960;x
MacLean;52038;CAN;1930;1930;1990;1990;2;4;32;1;0;5;0;L52038;1940;1960;x
Matthews;52039;CAN;1930;1930;1990;1990;2;4;0;1;0;5;0;L52039;1942;1960;x
