Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Du Ping;579000;PRK;1943;1990;1990;1990;3;6;256;0;0;5;0;ping_du_prk;1943;1960;x
Gan Siqi;579001;PRK;1938;1944;1990;1990;2;4;2;1;0;5;0;siqi_gan_prk;1938;1960;x
Han Xianchu;579002;PRK;1930;1940;1944;1990;1;4;0;3;0;5;0;xianchu_han_prk;1930;1960;x
Hong Xuezhi;579003;PRK;1942;1990;1990;1990;3;3;1;0;0;5;0;xuezhi_hong_prk;1942;1960;x
Kim Il Sung;579004;PRK;1930;1930;1930;1930;0;3;1;1;0;5;0;sung_il_kim_prk;1930;1960;x
Lai Chuanzhu;579005;PRK;1944;1990;1990;1990;3;2;0;0;0;5;0;chuanzhu_lai_prk;1944;1960;x
Li Jukui;579006;PRK;1941;1990;1990;1990;3;4;128;0;0;5;0;jukui_li_prk;1941;1960;x
Liu Fei;579007;PRK;1940;1990;1990;1990;3;3;0;0;0;5;0;fei_liu_prk;1940;1960;x
Nie Fengzhi;579008;PRK;1937;1942;1943;1990;1;5;128;2;0;5;0;fengzhi_nie_prk;1937;1960;x
Quin Jiwei;579009;PRK;1940;1943;1990;1990;2;4;64;1;0;5;0;jiwei_quin_prk;1940;1960;x
Ra Pilk Wan;579010;PRK;1945;1990;1990;1990;3;2;0;0;0;5;0;wan_pilk_ra_prk;1945;1960;x
Song Shilun;579011;PRK;1930;1940;1990;1990;2;4;64;1;0;5;0;shilun_song_prk;1930;1960;x
Su Yu;579012;PRK;1930;1930;1942;1943;0;5;9;3;0;5;0;yu_su_prk;1930;1960;x
Tao Yong;579013;PRK;1939;1942;1990;1990;2;4;0;1;0;5;0;yong_tao_prk;1939;1960;x
Wu Ruilin;579014;PRK;1945;1990;1990;1990;3;3;32;0;0;5;0;ruilin_wu_prk;1945;1960;x
Xiao Jinguang;579015;PRK;1930;1990;1990;1990;3;4;1;0;0;5;0;jinguang_xiao_prk;1930;1960;x
Xu Binzhou;579016;PRK;1938;1942;1990;1990;2;5;16;1;0;5;0;binzhou_xu_prk;1938;1960;x
Yang Dezhi;579017;PRK;1942;1990;1990;1990;3;2;0;0;0;5;0;dezhi_yang_prk;1942;1960;x
Zhang Renchu;579018;PRK;1941;1990;1990;1990;3;4;8;0;0;5;0;renchu_zhang_prk;1941;1960;x
Zheng Weishan;579019;PRK;1939;1941;1990;1990;2;3;256;1;0;5;0;weishan_zheng_prk;1939;1960;x
Zhoui Biao;579020;PRK;1930;1939;1942;1990;1;5;4;2;0;5;0;biao_zhoui_prk;1930;1960;x
Chen Xilian;579021;PRK;1938;1942;1990;1990;2;3;2048;1;0;5;1;xilian_chen_prk;1938;1960;x
Chen Yun;579022;PRK;1930;1990;1990;1990;3;3;0;0;0;5;1;yun_chen_prk;1930;1960;x
Deng Hua;579023;PRK;1944;1990;1990;1990;3;4;4096;0;0;5;1;hua_deng_prk;1944;1960;x
Kang Kon;579024;PRK;1942;1990;1990;1990;3;3;0;0;0;5;1;kon_kang_prk;1942;1960;x
Liu Xiyuan;579025;PRK;1930;1940;1945;1990;1;3;1024;2;0;5;1;xiyuan_liu_prk;1930;1960;x
Chen Geng;579026;PRK;1940;1990;1990;1990;3;4;131072;0;0;5;2;geng_chen_prk;1940;1960;x
Li Kenong;579027;PRK;1930;1930;1943;1990;1;4;32768;2;0;5;2;kenong_li_prk;1930;1960;x
Li Zhimin;579028;PRK;1940;1943;1990;1990;2;3;0;2;0;5;2;zhimin_li_prk;1940;1960;x
Liang Xingchu;579029;PRK;1944;1990;1990;1990;3;3;65536;1;0;5;2;xingchu_liang_prk;1944;1960;x
Liu Yalou;579030;PRK;1940;1943;1990;1990;2;4;0;1;0;5;2;yalou_liu_prk;1940;1960;x
Wang Daobang;579031;PRK;1944;1990;1990;1990;3;3;4096;0;0;5;2;daobang_wang_prk;1944;1960;x
Wang Yinshan;579032;PRK;1942;1990;1990;1990;3;4;8192;0;0;5;2;yinshan_wang_prk;1942;1960;x
Wu Xinquan;579033;PRK;1938;1942;1990;1990;2;3;0;1;0;5;2;xinquan_wu_prk;1938;1960;x
Yuan Shengping;579034;PRK;1945;1990;1990;1990;3;3;0;0;0;5;2;shengping_yuan_prk;1945;1960;x
