Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Andersen;3;GER;1930;1936;1940;1990;2;5;32;2;0;5;0;L3;1945;1960;x
Anton;4;GER;1930;1936;1940;1990;2;6;2;2;0;5;0;L4;1942;1960;x
Bader;8;GER;1930;1936;1940;1990;2;7;576;2;0;5;0;L8;1930;1960;x
Balck;9;GER;1930;1936;1943;1990;1;9;135;4;0;5;0;L9;1942;1960;x
Balla;10;GER;1930;1936;1940;1990;2;5;4;2;0;5;0;L10;1942;1960;x
Bayerlein;12;GER;1930;1936;1940;1990;2;8;129;3;0;5;0;L12;1942;1960;x
Behrend;14;GER;1930;1936;1940;1990;2;5;0;2;0;5;0;L14;1940;1960;x
Bergen H.;15;GER;1930;1936;1944;1990;2;6;3;2;0;5;0;L15;1942;1960;x
Bergmann;16;GER;1930;1936;1940;1990;2;6;517;2;0;5;0;L16;1930;1960;x
Blaskowitz Johannes;20;GER;1930;1936;1940;1990;1;8;7;2;0;5;0;L20;1930;1960;x
Blumentritt;21;GER;1930;1936;1940;1990;2;7;132;2;0;3;0;L21;1942;1960;x
Boeck-Behrens;23;GER;1930;1936;1940;1990;2;6;32;2;0;5;0;L23;1942;1960;x
Brandenberger;27;GER;1930;1936;1940;1990;2;7;128;2;0;5;0;L27;1940;1960;x
Breith;28;GER;1930;1936;1940;1990;2;6;128;2;0;5;0;L28;1942;1960;x
Burgdorf;32;GER;1930;1936;1940;1990;2;4;0;2;0;5;0;L32;1942;1960;x
Busch;33;GER;1930;1936;1940;1943;2;8;7;3;0;5;0;L33;1930;1960;x
Böttcher  F.;37;GER;1930;1936;1940;1990;2;6;128;2;0;5;0;L37;1940;1960;x
Clössner;38;GER;1930;1936;1940;1990;2;6;256;2;0;5;0;L38;1937;1960;x
Conrady;39;GER;1930;1936;1940;1990;2;5;0;2;0;5;0;L39;1942;1960;x
Cramer;41;GER;1930;1936;1940;1990;2;5;261;3;0;5;0;L41;1942;1960;x
Cranz;42;GER;1930;1936;1940;1990;2;5;0;2;0;5;0;L42;1938;1960;x
Crüwell;43;GER;1930;1936;1940;1990;2;7;1;2;0;5;0;L43;1939;1960;x
Decker;46;GER;1930;1936;1940;1990;2;5;128;2;0;5;0;L46;1943;1960;x
Demme;48;GER;1930;1936;1940;1990;2;5;32;2;0;5;0;L48;1943;1960;x
Dietl;49;GER;1930;1936;1936;1990;2;9;269;4;0;5;0;L49;1938;1960;x
Dollmann Friedrich;52;GER;1932;1936;1940;1990;1;7;7;2;0;5;0;L52;1930;1960;x
Feldt;57;GER;1930;1936;1940;1990;2;5;2;2;0;5;0;L57;1940;1960;x
Fessmann;58;GER;1930;1936;1940;1990;2;6;640;2;0;4;0;L58;1930;1960;x
Fischer  M.;59;GER;1930;1936;1940;1990;2;5;4;2;0;5;0;L59;1944;1960;x
Flörke;61;GER;1930;1936;1940;1990;2;7;257;3;0;5;0;L61;1943;1960;x
Franek;67;GER;1930;1936;1940;1990;2;5;0;2;0;5;0;L67;1942;1960;x
Frankewitz B.;68;GER;1930;1936;1944;1990;2;6;3;2;0;5;0;L68;1942;1960;x
Fromm;78;GER;1930;1936;1940;1990;1;6;0;2;0;2;0;L78;1930;1960;x
Förtsch;81;GER;1930;1936;1940;1990;2;5;4;2;0;5;0;L81;1943;1960;x
Gause;83;GER;1930;1936;1940;1990;2;6;0;3;0;5;0;L83;1941;1960;x
Geyr von Schweppenburg;85;GER;1930;1936;1940;1990;2;8;133;2;0;5;0;L85;1930;1960;x
Gräser  F.H.;89;GER;1930;1936;1940;1990;2;6;129;2;0;5;0;L89;1941;1960;x
Grässner;90;GER;1930;1936;1940;1990;2;5;32;2;0;5;0;L90;1939;1960;x
Greiner;91;GER;1930;1936;1940;1990;2;6;2;2;0;5;0;L91;1942;1960;x
Guderian Heinz;94;GER;1930;1936;1940;1990;1;9;151;5;0;5;0;L94;1930;1960;x
Gurran;95;GER;1930;1936;1940;1990;2;6;4;2;0;5;0;L95;1942;1960;x
Göbel;96;GER;1930;1936;1940;1990;2;5;0;2;0;5;0;L96;1943;1960;x
Haase  C.;101;GER;1930;1936;1940;1990;2;5;64;2;0;5;0;L101;1930;1960;x
Halder;114;GER;1930;1936;1940;1990;1;8;1;2;0;5;0;L114;1930;1960;x
Hansen O.;118;GER;1930;1936;1940;1990;2;7;0;2;0;5;0;L118;1945;1960;x
Harrendorf;120;GER;1930;1936;1940;1990;2;5;0;2;0;5;0;L120;1945;1960;x
Harteneck;121;GER;1930;1936;1940;1990;2;7;256;2;0;5;0;L121;1942;1960;x
von Hammerstein-equordt;124;GER;1930;1936;1940;1990;2;5;3;2;0;5;0;L124;1941;1960;x
Heim;129;GER;1930;1936;1940;1990;3;5;0;2;0;5;0;L129;1941;1960;x
Heinrici;130;GER;1930;1936;1940;1990;2;8;19;3;0;5;0;L130;1930;1960;x
Heitz;131;GER;1930;1936;1940;1990;2;6;0;2;0;5;0;L131;1930;1960;x
Henze;134;GER;1930;1936;1940;1990;2;5;0;2;0;5;0;L134;1943;1960;x
Herr;135;GER;1930;1936;1940;1990;2;6;128;2;0;5;0;L135;1942;1960;x
Hilpert;137;GER;1930;1936;1942;1990;1;7;3;2;0;5;0;L137;1939;1960;x
Hitter;138;GER;1930;1936;1940;1990;2;5;0;2;0;5;0;L138;1942;1960;x
Höpner Erich;140;GER;1930;1936;1940;1990;1;7;133;2;0;2;0;L140;1930;1960;x
Hollidt Karl;141;GER;1938;1936;1943;1990;1;6;3;2;0;5;0;L141;1938;1960;x
Hossbach Friedrich;142;GER;1930;1936;1940;1990;2;5;7;2;0;5;0;L142;1942;1960;x
Hoth Hermann;143;GER;1930;1936;1940;1990;1;8;135;3;0;5;0;L143;1930;1960;x
Hube Hans;144;GER;1930;1936;1940;1990;2;8;133;2;0;5;0;L144;1940;1960;x
Jacob;146;GER;1930;1936;1940;1990;2;4;2;2;0;5;0;L146;1930;1960;x
Jänecke;147;GER;1930;1936;1940;1990;2;6;4;2;0;5;0;L147;1939;1960;x
Jauer;148;GER;1930;1936;1940;1990;2;5;128;2;0;5;0;L148;1943;1960;x
Jodl A.;149;GER;1930;1936;1940;1990;2;5;4;2;0;5;0;L149;1939;1960;x
Jodl F.;150;GER;1930;1936;1940;1990;2;6;258;2;0;5;0;L150;1942;1960;x
John;151;GER;1930;1936;1940;1990;2;5;1;2;0;5;0;L151;1943;1960;x
Kalmukoff;153;GER;1930;1936;1940;1990;2;6;4;2;0;4;0;L153;1939;1960;x
Keitel Wilhelm;154;GER;1930;1936;1936;1940;0;5;1;2;0;5;0;L154;1930;1960;x
Kempf Werner;155;GER;1939;1936;1941;1990;1;6;133;2;0;5;0;L155;1939;1960;x
Kessel Hans;156;GER;1941;1936;1945;1990;2;6;0;2;0;5;0;L156;1941;1960;x
Kesselring Albert;157;GER;1930;1936;1940;1943;0;9;19;5;0;5;0;L451;1942;1960;x
Kirchheim Heinrich;159;GER;1940;1936;1945;1990;2;5;1;2;0;5;0;L159;1940;1960;x
Kirchner;160;GER;1930;1936;1940;1990;2;6;128;2;0;5;0;L160;1938;1960;x
Kleemann;162;GER;1941;1936;1944;1990;1;6;129;2;0;5;0;L162;1941;1960;x
Kluge;164;GER;1930;1936;1940;1990;2;7;0;3;0;5;0;L164;1942;1960;x
Kötz;167;GER;1930;1936;1940;1990;2;5;0;2;0;5;0;L167;1943;1960;x
Konrad Rudolf;168;GER;1939;1936;1942;1990;2;6;257;2;0;5;0;L168;1939;1960;x
Korfes;169;GER;1930;1936;1940;1990;2;5;0;2;0;3;0;L169;1940;1960;x
Krebs Hans;170;GER;1942;1936;1944;1990;1;6;3;2;0;5;0;L170;1942;1960;x
Kriebel;172;GER;1939;1936;1943;1990;2;5;3;2;0;5;0;L172;1939;1960;x
Krüger Walter;173;GER;1941;1936;1944;1990;1;8;131;2;0;5;0;L173;1941;1960;x
Kuntze Walzer;174;GER;1934;1936;1940;1990;2;6;3;3;0;5;0;L174;1930;1960;x
Kuntzen Adolf;175;GER;1938;1936;1941;1990;2;7;129;2;0;5;0;L175;1938;1960;x
Lancelle;179;GER;1930;1936;1940;1990;2;5;0;2;0;5;0;L179;1939;1960;x
Lanz Huber;180;GER;1930;1936;1940;1990;2;6;257;2;0;5;0;L180;1938;1960;x
Laux;182;GER;1930;1936;1940;1990;2;5;2;2;0;5;0;L182;1939;1960;x
Lichel;187;GER;1930;1936;1940;1990;2;5;0;2;0;5;0;L187;1938;1960;x
Lindemann;188;GER;1930;1936;1940;1990;1;7;0;2;0;5;0;L188;1930;1960;x
List;189;GER;1930;1936;1936;1939;0;8;7;3;0;5;0;L189;1930;1960;x
Lüdke;193;GER;1930;1936;1940;1990;2;5;64;2;0;5;0;L193;1938;1960;x
Matzky;196;GER;1930;1936;1940;1990;2;5;1;2;0;5;0;L196;1941;1960;x
Mauss;197;GER;1930;1936;1940;1990;2;7;132;2;0;5;0;L197;1944;1960;x
Meindl;198;GER;1930;1936;1940;1990;2;6;256;2;0;5;0;L198;1941;1960;x
Meyer-Buerdorff;199;GER;1930;1936;1940;1990;2;5;2;2;0;5;0;L199;1943;1960;x
Miese;200;GER;1930;1936;1940;1990;2;6;257;2;0;5;0;L200;1940;1960;x
Mieth;201;GER;1930;1936;1940;1990;2;5;2;2;0;5;0;L201;1940;1960;x
Model;202;GER;1930;1936;1940;1944;1;9;131;3;0;5;0;L202;1938;1960;x
Müller  A.;203;GER;1930;1936;1940;1990;2;5;514;2;0;5;0;L203;1930;1960;x
Müller  An.;204;GER;1930;1936;1940;1990;2;5;6;2;0;5;0;L204;1930;1960;x
Müller  F.W.;205;GER;1930;1936;1940;1990;2;5;4;2;0;5;0;L205;1940;1960;x
Nehring;206;GER;1930;1936;1940;1990;2;6;133;2;0;5;0;L206;1930;1960;x
Nickel;207;GER;1930;1936;1940;1990;2;5;0;2;0;5;0;L207;1943;1960;x
Niemack;209;GER;1930;1936;1940;1990;2;5;128;2;0;5;0;L209;1945;1960;x
Ochsner;210;GER;1930;1936;1940;1990;2;5;0;2;0;5;0;L210;1942;1960;x
Odebrecht;211;GER;1930;1936;1940;1990;2;5;2;2;0;5;0;L211;1939;1960;x
Paulus;215;GER;1930;1936;1940;1943;1;6;3;1;0;5;0;L215;1939;1960;x
Peschel;216;GER;1930;1936;1940;1990;2;6;4;2;0;5;0;L216;1941;1960;x
Petzel;217;GER;1930;1936;1940;1990;2;5;4;2;0;5;0;L217;1930;1960;x
Pheiffer;218;GER;1930;1936;1940;1990;2;5;64;2;0;5;0;L218;1940;1960;x
Prien Günther;219;GER;1930;1936;1945;1990;3;9;1024;2;0;5;1;L219;1940;1960;x
Raus Ehrhard;223;GER;1930;1936;1940;1990;1;7;5;2;0;5;0;L223;1941;1960;x
Reinhardt;224;GER;1930;1936;1940;1990;2;5;133;2;0;5;0;L224;1937;1960;x
Remer;225;GER;1930;1936;1940;1990;2;7;0;2;0;5;0;L225;1945;1960;x
Reymann Hellmuth;226;GER;1942;1936;1948;1990;3;7;3;2;0;5;0;L226;1942;1960;x
Ringel;227;GER;1930;1936;1940;1990;2;8;261;2;0;5;0;L227;1940;1960;x
Rodt;229;GER;1930;1936;1940;1990;2;5;128;2;0;5;0;L229;1943;1960;x
Rommel Erwin;230;GER;1930;1936;1940;1942;1;9;151;4;0;4;0;L230;1939;1960;x
