Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Adams;60000;USA;1930;1930;1990;1990;2;7;256;3;0;5;0;L60000;1944;1960;x
Alexander;60001;USA;1930;1930;1990;1990;2;4;1;1;0;5;0;L60001;1939;1960;x
Alfonte;60002;USA;1930;1930;1990;1990;2;4;0;1;0;5;0;L60002;1943;1960;x
Alkire;60003;USA;1930;1930;1990;1990;2;5;128;2;0;5;0;L60003;1943;1960;x
Allen  A.R.;60004;USA;1930;1930;1990;1990;2;7;128;3;0;5;0;L60004;1941;1960;x
Allen  F.A.;60005;USA;1930;1930;1990;1990;2;5;64;2;0;5;0;L60005;1942;1960;x
Allen  R.R.;60006;USA;1930;1930;1990;1990;2;5;128;2;0;5;0;L60006;1941;1960;x
Almond;60007;USA;1930;1930;1990;1990;2;5;0;2;0;5;0;L60007;1942;1960;x
Althaus;60008;USA;1930;1930;1990;1990;2;5;128;2;0;5;0;L60008;1943;1960;x
Andersen;60009;USA;1930;1930;1990;1990;2;4;0;1;0;5;0;L60009;1940;1960;x
Anderson  J.B.;60010;USA;1930;1930;1990;1990;2;4;0;1;0;5;0;L60010;1942;1960;x
Anderson  J.W.;60011;USA;1930;1930;1990;1990;2;6;64;2;0;5;0;L60011;1941;1960;x
Andrus;60012;USA;1930;1930;1990;1990;2;4;64;1;0;5;0;L60012;1943;1960;x
Ankcorn;60013;USA;1930;1930;1990;1990;2;4;0;1;0;5;0;L60013;1939;1960;x
Arms;60014;USA;1930;1930;1990;1990;2;4;0;1;0;5;0;L60014;1941;1960;x
Armstrong;60015;USA;1930;1930;1990;1990;2;5;64;2;0;5;0;L60015;1942;1960;x
Arnold;60016;USA;1930;1930;1990;1990;2;6;0;2;0;5;0;L60016;1942;1960;x
Arrowsmith;60017;USA;1930;1930;1990;1990;2;4;0;1;0;5;0;L60017;1942;1960;x
Baade;60018;USA;1930;1930;1990;1990;2;4;0;1;0;5;0;L60018;1942;1960;x
Baehr;60019;USA;1930;1930;1990;1990;2;5;64;2;0;5;0;L60019;1930;1960;x
Baird;60020;USA;1930;1930;1990;1990;2;4;1;1;0;5;0;L60020;1942;1960;x
Baker;60021;USA;1930;1930;1990;1990;2;4;0;1;0;5;0;L60021;1941;1960;x
Barker;60022;USA;1930;1930;1990;1990;2;6;64;2;0;5;0;L60022;1940;1960;x
Barnes;60023;USA;1930;1930;1990;1990;2;5;64;2;0;5;0;L60023;1938;1960;x
Barnett;60024;USA;1930;1930;1990;1990;2;5;0;2;0;5;0;L60024;1941;1960;x
Barr;60025;USA;1930;1930;1990;1990;2;6;128;3;0;5;0;L60025;1941;1960;x
Barrett;60026;USA;1930;1930;1990;1990;2;5;64;2;0;5;0;L60026;1944;1960;x
Barton;60027;USA;1930;1930;1990;1990;2;5;0;2;0;5;0;L60027;1930;1960;x
Bash;60028;USA;1930;1930;1990;1990;2;4;512;1;0;5;0;L60028;1930;1960;x
Beasly;60029;USA;1930;1930;1990;1990;2;4;64;1;0;5;0;L60029;1942;1960;x
Beddingfield;60030;USA;1930;1930;1990;1990;2;5;32;1;0;5;0;L60030;1945;1960;x
Bedell-Smith;60031;USA;1930;1930;1944;1990;1;6;4;3;0;5;0;L60031;1941;1960;x
Beiderlinden;60032;USA;1930;1930;1990;1990;2;5;64;1;0;5;0;L60032;1943;1960;x
Beightler;60033;USA;1930;1930;1990;1990;2;6;0;2;0;5;0;L60033;1940;1960;x
Billingslea;60034;USA;1930;1930;1990;1990;2;4;2;1;0;5;0;L60034;1940;1960;x
Birkhead;60035;USA;1930;1930;1990;1990;2;4;0;1;0;5;0;L60035;1930;1960;x
Bissell;60036;USA;1930;1930;1990;1990;2;4;64;1;0;5;0;L60036;1943;1960;x
Bixby;60037;USA;1930;1930;1990;1990;2;5;128;2;0;5;0;L60037;1944;1960;x
Blackmore;60038;USA;1930;1930;1990;1990;2;4;1;1;0;5;0;L60038;1940;1960;x
Blakeley;60039;USA;1930;1930;1990;1990;2;5;128;2;0;5;0;L60039;1940;1960;x
Blount;60040;USA;1930;1930;1990;1990;2;4;4;1;0;5;0;L60040;1942;1960;x
Bluemel;60041;USA;1930;1930;1990;1990;2;4;256;1;0;5;0;L60041;1940;1960;x
Boatner;60042;USA;1930;1930;1990;1990;2;6;5;2;0;5;0;L60042;1942;1960;x
Boggs;60043;USA;1930;1930;1990;1990;2;4;1;1;0;5;0;L60043;1939;1960;x
Bohn;60044;USA;1930;1930;1990;1990;2;6;128;2;0;5;0;L60044;1942;1960;x
Bolling;60045;USA;1930;1930;1990;1990;2;5;0;2;0;5;0;L60045;1939;1960;x
Bolte;60046;USA;1930;1930;1942;1990;1;5;0;2;0;5;0;L60046;1930;1960;x
Bonesteel jr.;60047;USA;1930;1930;1990;1990;2;5;0;2;0;5;0;L60047;1941;1960;x
Booth;60048;USA;1930;1930;1990;1990;2;5;0;2;0;5;0;L60048;1942;1960;x
Boudinot;60049;USA;1930;1930;1990;1990;2;4;128;1;0;5;0;L60049;1943;1960;x
Bowen;60050;USA;1930;1930;1990;1990;2;6;384;2;0;5;0;L60050;1942;1960;x
Bowley;60051;USA;1930;1930;1990;1990;2;6;514;2;0;5;0;L60051;1930;1939;x
Bowman;60052;USA;1930;1930;1990;1990;2;5;32;2;0;5;0;L60052;1942;1960;x
Boyd;60053;USA;1930;1930;1990;1990;2;4;0;1;0;5;0;L60053;1938;1960;x
Bradford  K.S.;60054;USA;1930;1930;1990;1990;2;4;0;1;0;5;0;L60054;1941;1960;x
Bradford  W.B.;60055;USA;1930;1930;1990;1990;2;5;4;2;0;5;0;L60055;1941;1960;x
