MODEL_AFG_4_0;CV-33;CV-33;CV-33;CV-33;CV-33;CV-33;;;;;X
MODEL_AFG_4_1;LT vs.35;LT vs.35;LT vs.35;LT vs.35;LT vs.35;LT vs.35;;;;;X
MODEL_AFG_4_2;BT-7;BT-7;BT-7;BT-7;BT-7;BT-7;;;;;X
MODEL_AFG_5_0;T-18;T-18;T-18;T-18;T-18;T-18;;;;;X
MODEL_AFG_5_1;T-28;T-28;T-28;T-28;T-28;T-28;;;;;X
MODEL_AFG_5_2;BT-7M;BT-7M;BT-7M;BT-7M;BT-7M;BT-7M;;;;;X
MODEL_AFG_5_3;T-34 m.41;T-34 m.41;T-34 m.41;T-34 m.41;T-34 m.41;T-34 m.41;;;;;X
MODEL_AFG_5_4;T-34 m.44;T-34 m.44;T-34 m.44;T-34 m.44;T-34 m.44;T-34 m.44;;;;;X
MODEL_AFG_13_0;Hawker Hind;Hawker Hind;Hawker Hind;Hawker Hind;Hawker Hind;Hawker Hind;;;;;X
MODEL_AFG_17_0;Breda Ba.25;Breda Ba.25;Breda Ba.25;Breda Ba.25;Breda Ba.25;Breda Ba.25;;;;;X
MODEL_ALB_4_0;CV-35;CV-35;CV-35;CV-35;CV-35;CV-35;;;;;X
MODEL_ALB_4_1;L.3/38;L.3/38;L.3/38;L.3/38;L.3/38;L.3/38;;;;;X
MODEL_ALB_4_2;L.6/40;L.6/40;L.6/40;L.6/40;L.6/40;L.6/40;;;;;X
MODEL_ALB_5_0;Fiat 2000;Fiat 2000;Fiat 2000;Fiat 2000;Fiat 2000;Fiat 2000;;;;;X
MODEL_ALB_5_1;M.11/39;M.11/39;M.11/39;M.11/39;M.11/39;M.11/39;;;;;X
MODEL_ALB_5_2;M.13/40;M.13/40;M.13/40;M.13/40;M.13/40;M.13/40;;;;;X
MODEL_ALB_5_3;M.15/42;M.15/42;M.15/42;M.15/42;M.15/42;M.15/42;;;;;X
MODEL_ALB_5_4;M.18/43 Sahariano;M.18/43 Sahariano;M.18/43 Sahariano;M.18/43 Sahariano;M.18/43 Sahariano;M.18/43 Sahariano;;;;;X
MODEL_ARG_4_0;M1A2;M1A2;M1A2;M1A2;M1A2;M1A2;;;;;X
MODEL_ARG_4_1;L-60S;L-60S;L-60S;L-60S;L-60S;L-60S;;;;;X
MODEL_ARG_4_2;LT vz. 38;LT vz. 38;LT vz. 38;LT vz. 38;LT vz. 38;LT vz. 38;;;;;X
MODEL_ARG_5_0;Renault FT17;Renault FT17;Renault FT17;Renault FT17;Renault FT17;Renault FT17;;;;;X
MODEL_ARG_5_1;T4E1;T4E1;T4E1;T4E1;T4E1;T4E1;;;;;X
MODEL_ARG_5_2;Nahuel D.L.43;Nahuel D.L.43;Nahuel D.L.43;Nahuel D.L.43;Nahuel D.L.43;Nahuel D.L.43;;;;;X
MODEL_ARG_5_3;M4A1 Sherman;M4A1 Sherman;M4A1 Sherman;M4A1 Sherman;M4A1 Sherman;M4A1 Sherman;;;;;X
MODEL_ARG_5_4;M4/E8 Sherman;M4/E8 Sherman;M4/E8 Sherman;M4/E8 Sherman;M4/E8 Sherman;M4/E8 Sherman;;;;;X
MODEL_ARG_5_5;M26 Pershing;M26 Pershing;M26 Pershing;M26 Pershing;M26 Pershing;M26 Pershing;;;;;X
MODEL_ARG_12_3;FMA I.Ae.33 Pulqui II;FMA I.Ae.33 Pulqui II;FMA I.Ae.33 Pulqui II;FMA I.Ae.33 Pulqui II;FMA I.Ae.33 Pulqui II;FMA I.Ae.33 Pulqui II;;;;;X
MODEL_ARG_13_0;Curtiss Hawk III;Curtiss Hawk III;Curtiss Hawk III;Curtiss Hawk III;Curtiss Hawk III;Curtiss Hawk III;;;;;X
MODEL_ARG_13_1;Curtiss Hawk 75H;Curtiss Hawk 75H;Curtiss Hawk 75H;Curtiss Hawk 75H;Curtiss Hawk 75H;Curtiss Hawk 75H;;;;;X
MODEL_ARG_13_2;FMA I.Ae-22 DL;FMA I.Ae-22 DL;FMA I.Ae-22 DL;FMA I.Ae-22 DL;FMA I.Ae-22 DL;FMA I.Ae-22 DL;;;;;X
MODEL_ARG_13_8;FMA I.Ae.27 Pulqui;FMA I.Ae.27 Pulqui;FMA I.Ae.27 Pulqui;FMA I.Ae.27 Pulqui;FMA I.Ae.27 Pulqui;FMA I.Ae.27 Pulqui;;;;;X
MODEL_ARG_16_0;Consolidated P2Y-3A Ranger;Consolidated P2Y-3A Ranger;Consolidated P2Y-3A Ranger;Consolidated P2Y-3A Ranger;Consolidated P2Y-3A Ranger;Consolidated P2Y-3A Ranger;;;;;X
MODEL_ARG_17_0;FMA Ae-MB2 Bombi;FMA Ae-MB2 Bombi;FMA Ae-MB2 Bombi;FMA Ae-MB2 Bombi;FMA Ae-MB2 Bombi;FMA Ae-MB2 Bombi;;;;;X
MODEL_ARG_18_0;Douglas C-32;Douglas C-32;Douglas C-32;Douglas C-32;Douglas C-32;Douglas C-32;;;;;X
MODEL_ARG_21_0;Rivadavia-class;Rivadavia-class;Classe Rivadavia;Rivadavia-class;Rivadavia-Klasse;Rivadavia-Klasse;;;;;x
MODEL_ARG_22_1;La Argentina-class;La Argentina-class;Classe La Argentina;La Argentina-class;La Argentina-Klasse;La Argentina-Klasse;;;;;x
MODEL_ARG_23_0;Veinticinco de Mayo-class;Veinticinco de Mayo-class;Classe Veinticinco de Mayo;Veinticinco de Mayo-class;Veinticinco de Mayo-Klasse;Veinticinco de Mayo-Klasse;;;;;x
MODEL_ARG_25_0;Churucca-class;Churucca-class;Classe Churucca;Churucca-class;Churucca-Klasse;Churucca-Klasse;;;;;x
MODEL_ARG_25_1;Buenos Aires-class;Buenos Aires-class;Classe Buenos Aires;Buenos Aires-class;Buenos Aires-Klasse;Buenos Aires-Klasse;;;;;x
MODEL_ARG_28_0;Santa Fe-class;Santa Fe-class;Classe Santa Fe;Santa Fe-class;Santa Fe-Klasse;Santa Fe-Klasse;;;;;x
MODEL_AST_4_0;Carden-Loyd M1933;Carden-Loyd M1933;Carden-Loyd M1933;Carden-Loyd M1933;Carden-Loyd M1933;Carden-Loyd M1933;;;;;X
MODEL_AST_4_1;Vickers Mk.VIc;Vickers Mk.VIc;Vickers Mk.VIc;Vickers Mk.VIc;Vickers Mk.VIc;Vickers Mk.VIc;;;;;X
MODEL_AST_4_2;Stuart Mk.V;Stuart Mk.V;Stuart Mk.V;Stuart Mk.V;Stuart Mk.V;Stuart Mk.V;;;;;X
MODEL_AST_5_0;Whippet;Whippet;Whippet;Whippet;Whippet;Whippet;;;;;X
MODEL_AST_5_1;Cruiser Tank Mk.I A9;Cruiser Tank Mk.I A9;Cruiser Tank Mk.I A9;Cruiser Tank Mk.I A9;Cruiser Tank Mk.I A9;Cruiser Tank Mk.I A9;;;;;X
MODEL_AST_5_2;AC1 Sentinel;AC1 Sentinel;AC1 Sentinel;AC1 Sentinel;AC1 Sentinel;AC1 Sentinel;;;;;X
MODEL_AST_5_3;AC4 Sentinel;AC4 Sentinel;AC4 Sentinel;AC4 Sentinel;AC4 Sentinel;AC4 Sentinel;;;;;X
MODEL_AST_5_4;A34 Comet;A34 Comet;A34 Comet;A34 Comet;A34 Comet;A34 Comet;;;;;X
MODEL_AST_5_5;Centurion Mk.I;Centurion Mk.I;Centurion Mk.I;Centurion Mk.I;Centurion Mk.I;Centurion Mk.I;;;;;X
MODEL_AST_5_6;Centurion Mk.III;Centurion Mk.III;Centurion Mk.III;Centurion Mk.III;Centurion Mk.III;Centurion Mk.III;;;;;X
MODEL_AST_5_7;Centurion Mk.V;Centurion Mk.V;Centurion Mk.V;Centurion Mk.V;Centurion Mk.V;Centurion Mk.V;;;;;X
MODEL_AST_12_0;Curtiss Kittyhawk;Curtiss Kittyhawk;Curtiss Kittyhawk;Curtiss Kittyhawk;Curtiss Kittyhawk;Curtiss Kittyhawk;;;;;X
