##;ENG;FRA;ITA;SPA;GER;POL;;;;;X
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(Embarked);;;;;x
PROV1;Reykjavik;Reykjavik;Reykjavik;Reykjavík;Reykjavik;Reykjavik;;;;;X
PROV2;Höfn;Höfn;Höfn;Höfn;Höfn;Höfn;;;;;X
PROV3;Stornoway;Stornoway;Stornoway;Stornoway;Stornoway;Stornoway;;;;;X
PROV4;As Suwayz;As Suwayz;As Suwayz;As Suwayz (Suez);As-Suwais;As Suwayz;;;;;X
PROV5;Scapa Flow;Scapa Flow;Scapa Flow;Scapa Flow;Scapa Flow;Scapa Flow;;;;;X
PROV6;Inverness;Inverness;Inverness;Inverness;Inverness;Inverness;;;;;X
PROV7;Aberdeen;Aberdeen;Aberdeen;Aberdeen;Aberdeen;Aberdeen;;;;;X
PROV8;Dunfermline;Dunfermline;Dunfermline;Dunfermline;Dunfermline;Dunfermline;;;;;X
PROV9;Glasgow;Glasgow;Glasgow;Glasgow;Glasgow;Glasgow;;;;;X
PROV10;Edinburgh;Edinburgh;Edinburgh;Edimburgo;Edinburgh;Edinburgh;;;;;X
PROV11;Sunderland;Sunderland;Sunderland;Sunderland;Sunderland;Sunderland;;;;;X
PROV12;Blackpool;Blackpool;Blackpool;Blackpool;Blackpool;Blackpool;;;;;X
PROV13;Sheffield;Sheffield;Sheffield;Sheffield;Sheffield;Sheffield;;;;;X
PROV14;Liverpool;Liverpool;Liverpool;Liverpool;Liverpool;Liverpool;;;;;X
PROV15;Cardiff;Cardiff;Cardiff;Cardiff;Cardiff;Cardiff;;;;;X
PROV16;Birmingham;Birmingham;Birmingham;Birmingham;Birmingham;Birmingham;;;;;X
PROV17;Norwich;Norwich;Norwich;Norwich;Norwich;Norwich;;;;;X
PROV18;Calais;Calais;Calais;Calais;Calais;Calais;;;;;X
PROV19;London;London;London;Londres;London;London;;;;;X
PROV20;Dover;Dover;Dover;Dover;Dover;Dover;;;;;X
PROV21;Portsmouth;Portsmouth;Portsmouth;Portsmouth;Portsmouth;Portsmouth;;;;;X
PROV22;Bristol;Bristol;Bristol;Bristol;Bristol;Bristol;;;;;X
PROV23;Plymouth;Plymouth;Plymouth;Plymouth;Plymouth;Plymouth;;;;;X
PROV24;Cork;Cork;Cork;Cork;Cork;Cork;;;;;X
PROV25;Galway;Galway;Galway;Galway;Galway;Galway;;;;;X
PROV26;Sligo;Sligo;Sligo;Sligo;Sligo;Sligo;;;;;X
PROV27;Letterkenny;Letterkenny;Letterkenny;Letterkenny;Letterkenny;Letterkenny;;;;;X
PROV28;Belfast;Belfast;Belfast;Belfast;Belfast;Belfast;;;;;X
PROV29;Portadown;Portadown;Portadown;Portadown;Portadown;Portadown;;;;;X
PROV30;Dublin;Dublin;Dublin;Dublín;Dublin;Dublin;;;;;X
PROV31;Malta;Malta;Malta;Malta;Malta;Malta;;;;;X
PROV32;Brest;Brest;Brest;Brest;Brest;Brest;;;;;X
PROV33;Rennes;Rennes;Rennes;Rennes;Rennes;Rennes;;;;;X
PROV34;Lorient;Lorient;Lorient;Lorient;Lorient;Lorient;;;;;X
PROV35;Nantes;Nantes;Nantes;Nantes;Nantes;Nantes;;;;;X
PROV36;Angers;Angers;Angers;Angers;Angers;Angers;;;;;X
PROV37;Avranches;Avranches;Avranches;Avranches;Avranches;Avranches;;;;;X
PROV38;Cherbourg;Cherbourg;Cherbourg;Cherburgo;Cherburg;Cherbourg;;;;;X
PROV39;Caen;Caen;Caen;Caen;Caen;Caen;;;;;X
PROV40;Argentan;Argentan;Argentan;Argentan;Argentan;Argentan;;;;;X
PROV41;Le Havre;Le Havre;Le Havre;El Havre;Le Havre;Le Havre;;;;;X
PROV42;Dieppe;Dieppe;Dieppe;Dieppe;Dieppe;Dieppe;;;;;X
PROV43;Dunkerque;Dunkerque;Dunkerque;Dunkerque;Dünkirchen;Dunkerque;;;;;X
PROV44;Lille;Lille;Lille;Lille;Lille;Lille;;;;;X
PROV45;Ghent;Ghent;Ghent;Gante;Gent;Ghent;;;;;X
PROV46;Rotterdam;Rotterdam;Rotterdam;Rotterdam;Rotterdam;Rotterdam;;;;;X
PROV47;Amsterdam;Amsterdam;Amsterdam;Amsterdam;Amsterdam;Amsterdam;;;;;X
PROV48;Utrecht;Utrecht;Utrecht;Utrecht;Utrecht;Utrecht;;;;;X
PROV49;Eindhoven;Eindhoven;Eindhoven;Eindhoven;Eindhoven;Eindhoven;;;;;X
PROV50;Antwerp;Antwerp;Antwerp;Amberes;Antwerpen;Antwerp;;;;;X
PROV51;Brussels;Brussels;Brussels;Bruselas;Brüssel;Brussels;;;;;X
PROV52;Mons;Mons;Mons;Mons;Mons;Mons;;;;;X
PROV53;Valenciennes;Valenciennes;Valenciennes;Valenciennes;Valenciennes;Valenciennes;;;;;X
PROV54;Amiens;Amiens;Amiens;Amiens;Amiens;Amiens;;;;;X
PROV55;Compiègne;Compiègne;Compiègne;Compiègne;Compiègne;Compiègne;;;;;X
PROV56;Paris;Paris;Paris;París;Paris;Paris;;;;;X
PROV57;Orléans;Orléans;Orléans;Orleans;Orléans;Orléans;;;;;X
PROV58;Le Mans;Le Mans;Le Mans;Le Mans;Le Mans;Le Mans;;;;;X
PROV59;Cholet;Cholet;Cholet;Cholet;Cholet;Cholet;;;;;X
PROV60;Tours;Tours;Tours;Tours;Tours;Tours;;;;;X
PROV61;Bourges;Bourges;Bourges;Bourges;Bourges;Bourges;;;;;X
PROV62;Auxerre;Auxerre;Auxerre;Auxerre;Auxerre;Auxerre;;;;;X
PROV63;Troyes;Troyes;Troyes;Troyes;Troyes;Troyes;;;;;X
PROV64;Reims;Reims;Reims;Reims;Reims;Reims;;;;;X
PROV65;Namur;Namur;Namur;Namur;Namur;Namur;;;;;X
PROV66;Aachen;Aachen;Aachen;Aquisgrán;Aachen;Aachen;;;;;X
PROV67;Essen;Essen;Essen;Essen;Essen;Essen;;;;;X
PROV68;Liège;Liège;Liège;Lieja;Lüttich;Liège;;;;;X
PROV69;Bastogne;Bastogne;Bastogne;Bastogne;Bastogne;Bastogne;;;;;X
PROV70;Arlon;Arlon;Arlon;Arlon;Arlon;Arlon;;;;;X
PROV71;Luxembourg;Luxembourg;Luxembourg;Luxemburgo;Luxemburg;Luxembourg;;;;;X
PROV72;Metz;Metz;Metz;Metz;Metz;Metz;;;;;X
PROV73;Strasbourg;Strasbourg;Strasbourg;Estrasburgo;Straßburg;Strasbourg;;;;;X
PROV74;Saarbrücken;Saarbrücken;Saarbrücken;Sarrebruck;Saarbrücken;Saarbrücken;;;;;X
PROV75;Cologne;Cologne;Cologne;Cologne;Köln;Cologne;;;;;X
PROV76;Dortmund;Dortmund;Dortmund;Dortmund;Dortmund;Dortmund;;;;;X
PROV77;Arnhem;Arnhem;Arnhem;Arnhem;Arnheim;Arnhem;;;;;X
PROV78;Leeuwarden;Leeuwarden;Leeuwarden;Leeuwarden;Leeuwarden;Leeuwarden;;;;;X
PROV79;Groningen;Groningen;Groningen;Groninga;Groningen;Groningen;;;;;X
PROV80;Wilhelmshafen;Wilhelmshafen;Wilhelmshafen;Wilhelmshaven;Wilhelmshaven;Wilhelmshafen;;;;;X
PROV81;Münster;Münster;Münster;Münster;Münster;Münster;;;;;X
PROV82;Kassel;Kassel;Kassel;Kassel;Kassel;Kassel;;;;;X
PROV83;Schweinfurt;Schweinfurt;Schweinfurt;Schweinfurt;Schweinfurt;Schweinfurt;;;;;X
PROV84;Erfurt;Erfurt;Erfurt;Erfurt;Erfurt;Erfurt;;;;;X
PROV85;Göttingen;Göttingen;Göttingen;Gotinga;Göttingen;Göttingen;;;;;X
PROV86;Hannover;Hannover;Hannover;Hannover;Hannover;Hannover;;;;;X
PROV87;Bremen;Bremen;Bremen;Bremen;Bremen;Bremen;;;;;X
PROV88;Hamburg;Hamburg;Hamburg;Hamburgo;Hamburg;Hamburg;;;;;X
PROV89;Lübeck;Lübeck;Lübeck;Lübeck;Lübeck;Lübeck;;;;;X
PROV90;Kiel;Kiel;Kiel;Kiel;Kiel;Kiel;;;;;X
PROV91;Kolding;Kolding;Kolding;Kolding;Kolding;Kolding;;;;;X
PROV92;Århus;Århus;Århus;Århus;Århus;Århus;;;;;X
PROV93;Malmö;Malmö;Malmö;Malmö;Malmö;Malmö;;;;;X
PROV94;Noginsk;Noginsk;Noginsk;Noguinsk;Noginsk;Noginsk;;;;;X
PROV95;Karlskrona;Karlskrona;Karlskrona;Karlskrona;Karlskrona;Karlskrona;;;;;X
PROV96;Gotland;Gotland;Gotland;Gotland;Gotland;Gotland;;;;;X
PROV97;Jönköping;Jönköping;Jönköping;Jönköping;Jönköping;Jönköping;;;;;X
PROV98;Göteborg;Göteborg;Göteborg;Gotemburgo;Göteborg;Göteborg;;;;;X
PROV99;Skövde;Skövde;Skövde;Skovde;Skövde;Skövde;;;;;X
PROV100;Norrköping;Norrköping;Norrköping;Norrköping;Norrköping;Norrköping;;;;;X
PROV101;Stockholm;Stockholm;Stockholm;Estocolmo;Stockholm;Stockholm;;;;;X
PROV102;Uppsala;Uppsala;Uppsala;Uppsala;Uppsala;Uppsala;;;;;X
PROV103;Åland;Åland;Åland;Åland;Åland;Åland;;;;;X
PROV104;Västerås;Västerås;Västerås;Västeras;Västerås;Västerås;;;;;X
PROV105;Karlstad;Karlstad;Karlstad;Karlstad;Karlstad;Karlstad;;;;;X
PROV106;Åmål;Åmål;Åmål;Åmål;Åmål;Åmål;;;;;X
PROV107;Oslo;Oslo;Oslo;Oslo;Oslo;Oslo;;;;;X
PROV108;Kristiansand;Kristiansand;Kristiansand;Kristiansand;Kristiansand;Kristiansand;;;;;X
PROV109;Stavanger;Stavanger;Stavanger;Stavanger;Stavanger;Stavanger;;;;;X
PROV110;Bergen;Bergen;Bergen;Bergen;Bergen;Bergen;;;;;X
PROV111;Hamar;Hamar;Hamar;Hamar;Hamar;Hamar;;;;;X
PROV112;Ludvika;Ludvika;Ludvika;Ludvika;Ludvika;Ludvika;;;;;X
PROV113;Falun;Falun;Falun;Falun;Falun;Falun;;;;;X
PROV114;Gävle;Gävle;Gävle;Gävle;Gävle;Gävle;;;;;X
PROV115;Sveg;Sveg;Sveg;Sveg;Sveg;Sveg;;;;;X
PROV116;Röros;Röros;Röros;Röros;Röros;Röros;;;;;X
PROV117;Ålesund;Ålesund;Ålesund;Ålesund;Ålesund;Ålesund;;;;;X
PROV118;Trondheim;Trondheim;Trondheim;Trondheim;Trondheim;Trondheim;;;;;X
PROV119;Östersund;Östersund;Östersund;Östersund;Östersund;Östersund;;;;;X
PROV120;Sundsvall;Sundsvall;Sundsvall;Sundsvall;Sundsvall;Sundsvall;;;;;X
PROV121;Vilhelmina;Vilhelmina;Vilhelmina;Vilhelmina;Vilhelmina;Vilhelmina;;;;;X
PROV122;Umeå;Umeå;Umeå;Umea;Umeå;Umeå;;;;;X
PROV123;Gällivare;Gällivare;Gällivare;Gällivare;Gällivare;Gällivare;;;;;X
PROV124;Mo i Rana;Mo i Rana;Mo i Rana;Mo i Rana;Mo i Rana;Mo i Rana;;;;;X
PROV125;Narvik;Narvik;Narvik;Narvik;Narvik;Narvik;;;;;X
PROV126;Kiruna;Kiruna;Kiruna;Kiruna;Kiruna;Kiruna;;;;;X
PROV127;Luleå;Luleå;Luleå;Lulea;Luleå;Luleå;;;;;X
PROV128;Hammerfest;Hammerfest;Hammerfest;Hammerfest;Hammerfest;Hammerfest;;;;;X
PROV129;Vardö;Vardö;Vardö;Vardø;Vardö;Vardö;;;;;X
